,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2019-01-24 05:00:00+00:00,25.79,0.0023319082782742306,69.19,0.005084253341080647,32.75,0.003985285101165026,106.73,0.0016893477240733645,83.66,0.0008374207441079751
2019-01-25 05:00:00+00:00,26.0,0.008142690965490473,70.07,0.012718600953895098,33.13,0.011603053435114585,106.68,-0.000468471844842111,83.6,-0.000717188620607212
2019-01-28 05:00:00+00:00,25.92,-0.003076923076922977,69.4,-0.009561866704723698,33.46,0.009960760639903254,106.62,-0.0005624296962879471,83.61,0.0001196172248805194
2019-01-29 05:00:00+00:00,25.83,-0.003472222222222321,70.36,0.013832853025936398,33.72,0.0077704722056186615,106.9,0.0026261489401613325,83.65,0.00047841167324480516
2019-01-30 05:00:00+00:00,25.98,0.005807200929152323,71.46,0.01563388288800449,34.0,0.008303677342823335,107.14,0.0022450888681009307,83.76,0.0013150029886430659
2019-01-31 05:00:00+00:00,25.94,-0.0015396458814472824,71.77,0.0043380912398545135,34.33,0.00970588235294123,107.46,0.0029867463132349226,83.83,0.0008357211079272897
2019-02-01 05:00:00+00:00,26.05,0.004240555127216661,71.88,0.00153267381914457,34.12,-0.006117098747451255,106.97,-0.004559836218127611,83.58,-0.0029822259334366663
2019-02-04 05:00:00+00:00,26.17,0.004606525911708292,72.81,0.012938230383973348,34.32,0.0058616647127784915,106.88,-0.0008413573899224147,83.58,0.0
2019-02-05 05:00:00+00:00,26.09,-0.003056935422239282,73.44,0.008652657601977642,34.55,0.006701631701631516,107.11,0.0021519461077845747,83.58,0.0
2019-02-06 05:00:00+00:00,26.07,-0.0007665772326561626,73.46,0.00027233115468394686,34.28,-0.007814761215629407,107.05,-0.0005601717860144184,83.62,0.0004785833931564287
2019-02-07 05:00:00+00:00,25.8,-0.010356731875719172,72.96,-0.006806425265450611,34.57,0.008459743290548438,107.1,0.0004670714619336991,83.69,0.0008371203061467991
2019-02-08 05:00:00+00:00,25.67,-0.005038759689922401,73.07,0.001507675438596534,34.57,0.0,107.34,0.0022408963585434094,83.71,0.0002389771776794003
2019-02-11 05:00:00+00:00,25.75,0.0031164783794310758,73.46,0.005337347748734178,34.67,0.00289268151576505,107.23,-0.0010247810694987702,83.68,-0.00035838012184907786
2019-02-12 05:00:00+00:00,26.13,0.01475728155339806,74.6,0.015518649605227308,34.43,-0.006922411306605203,107.25,0.00018651496782617905,83.67,-0.00011950286806894361
